DISC MP4	TRACK	ARTIST	TITLE	LOCATION	FILE	TIME START	TIME END						
2	30	Elton John + George Michael	Don't Let The Sun Go Down On Me	London	Live Aid (1985) - S01E02 - Disc 2.mp4	02:17:14.793	02:23:30.001						
2	31	---	Closing Credits	Video [Concorde]	Live Aid (1985) - S01E02 - Disc 2.mp4	02:23:30.001	02:24:45.777						
													
3	1	---	Opening Credits	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:00:00.000	00:01:27.888						
3	2	Madonna	Holiday	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:01:27.888	00:07:50.904						
3	3	Madonna	Get Into the Groove	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:07:50.904	00:13:15.194						
3	4	Freddie Mercury + Brian May	Is This the World We Created?	London	Live Aid (1985) - S01E03 - Disc 3.mp4	00:13:15.194	00:16:39.232						
3	5	Paul McCartney	Let It Be	London	Live Aid (1985) - S01E03 - Disc 3.mp4	00:16:39.232	00:22:08.194						
3	6	Band Aid	Do They Know It's Christmas?	London	Live Aid (1985) - S01E03 - Disc 3.mp4	00:22:08.194	00:26:45.604						
3	7	Tom Petty And The Heartbreakers	American Girl	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:26:45.604	00:31:03.462						
3	8	Tom Petty And The Heartbreakers	Refugee	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:31:03.462	00:35:09.774						
3	9	Black Sabbath + Ozzy Osbourne	Paranoid	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:35:09.774	00:39:06.144						
3	10	REO Speedwagon	Can't Fight This Feeling	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:39:06.144	00:44:25.196						
3	11	REO Speedwagon	Roll With the Changes	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:44:25.196	00:49:55.259						
3	12	"Crosby, Stills & Nash"	Teach Your Children	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:49:55.259	00:53:35.045						
3	13	Judas Priest	Living After Midnight	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:53:35.045	00:57:35.986						
3	14	Judas Priest	Green Manalishi	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	00:57:35.986	01:01:41.431						
3	15	The Cars	Just What I Needed	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:01:41.431	01:05:08.338						
3	16	The Cars	Heartbeat City	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:05:08.338	01:10:21.884						
3	17	Neil Young	The Needle and the Damage Done	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:10:21.884	01:12:58.875						
3	18	Neil Young	Nothing Is Perfect (In God's Perfect Plan)	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:12:58.875	01:17:37.887						
3	19	Thompson Twins + Steve Stevens + Nile Rodgers + Madonna	Revolution	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:17:37.887	01:23:13.956						
3	20	Eric Clapton	White Room	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:23:13.956	01:28:37.279						
3	21	Eric Clapton	She's Waiting	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:28:37.279	01:33:35.810						
3	22	Eric Clapton	Layla	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:33:35.810	01:37:24.205						
3	23	Eric Clapton + Phil Collins Et Al	Layla Piano Exit	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:37:24.205	01:40:37.865						
3	24	---	Jack Nicholson + Bette Midler	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:40:37.865	01:41:48.536						
3	25	Phil Collins	In the Air Tonight	London	Live Aid (1985) - S01E03 - Disc 3.mp4	01:41:48.536	01:47:01.982						
3	26	Duran Duran	Union of the Snake	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:47:01.982	01:52:12.893						
3	27	Duran Duran	Save A Prayer	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:52:12.893	01:58:45.385						
3	28	Duran Duran	The Reflex	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	01:58:45.385	02:05:34.994						
3	29	Patti Labelle	Imagine	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	02:05:34.994	02:10:37.997						
3	30	Patti Labelle	Forever Young	Philadelphia	Live Aid (1985) - S01E03 - Disc 3.mp4	02:10:37.997	02:16:36.188						
													
4	1	Daryl Hall & John Oates	Maneater	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:00:00.000	00:05:36.000						
4	2	Daryl Hall & John Oates + Eddie Kendricks	Get Ready (Cos Here I Come)	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:05:36.000	00:08:26.000						
4	3	Daryl Hall & John Oates + Eddie Kendricks + David Ruffin	Ain't Too Proud to Beg	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:08:26.000	00:11:05.000						
4	4	Daryl Hall & John Oates + Eddie Kendricks + David Ruffin	My Girl	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:11:05.000	00:14:54.000						
4	5	Mick Jagger	Just Another Night	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:14:54.000	00:18:27.000						
4	6	Mick Jagger	Just Another Night (Extended Vamp)	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:18:32.000	00:20:31.000						
4	7	Mick Jagger	Miss You	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:20:31.000	00:25:46.000						
4	8	Mick Jagger + Tina Turner	State of Shock	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:25:47.000	00:28:24.000						
4	9	Mick Jagger + Tina Turner	It's Only Rock 'N' Roll	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:28:24.000	00:31:35.000						
4	10	Bob Dylan + Keith Richards + Ron Wood	Blowing in the Wind	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:31:35.000	00:38:14.000						
4	11	USA For Africa	We Are the World (Finale)	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	00:38:14.000	00:45:51.000						
4	12	INXS	What You Need	Video [Australia]	Live Aid (1985) - S01E04 - Disc 4.mp4	00:45:52.000	00:49:26.000						
4	13	INXS	Don't Change	Video [Australia]	Live Aid (1985) - S01E04 - Disc 4.mp4	00:49:26.000	00:54:38.000						
4	14	B.B. King	Why I Sing the Blues	Video [Netherlands]	Live Aid (1985) - S01E04 - Disc 4.mp4	00:54:38.000	00:58:12.000						
4	15	B.B. King	Don't Answer the Door	Video [Netherlands]	Live Aid (1985) - S01E04 - Disc 4.mp4	00:58:12.000	01:05:15.000						
4	16	B.B. King	Rock Me Baby	Video [Netherlands]	Live Aid (1985) - S01E04 - Disc 4.mp4	01:05:15.000	01:06:14.000						
4	17	Ashford & Simpson + Teddy Pendergrass	Reach Out and Touch	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	01:06:14.000	01:12:34.000						
4	18	Run D.M.C	King of Rock	Philadelphia	Live Aid (1985) - S01E04 - Disc 4.mp4	01:12:34.000	01:20:02.000						
													
5	1	Cliff Richard	A World of Difference	Video	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:00:00.000	00:02:52.000						
5	2	Various	Austria for Afrika	Video [Austria]	Live Aid (1985) - S01E05 - Disc 4 Extras.mp4	00:02:52.000	00:06:05.000						
