DATE (EDT)	TIME START (EDT)	TIME END (EDT)	DATE (BST)	TIME START (BST)	TIME END (BST)	BBC SIMULCAST TIME START	BBC SIMULCAST TIME END	MTV SIMULCAST TIME START	MTV SIMULCAST TIME END	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	09:12:52	09:17:23	1985-07-13	14:12:52	14:17:23	02:24:52	02:29:23	02:17:13	02:21:44	00:04:31	Video [Austria]	Austria for Afrika	Warum	
1985-07-13	09:13:00	09:17:37	1985-07-13	14:13:00	14:17:37	02:25:00	02:29:37	02:17:21	02:21:58	00:04:37	Philadelphia	The Hooters	And We Danced	
1985-07-13	09:17:37	09:23:21	1985-07-13	14:17:37	14:23:21	02:29:37	02:35:21	02:21:58	02:27:42	00:05:44	Philadelphia	The Hooters	All You Zombies	
1985-07-13	09:22:00	09:22:39	1985-07-13	14:22:00	14:22:39	02:34:00	02:34:39	02:26:21	02:27:00	00:00:39	London	Nik Kershaw	Introduction by Tommy Vance	
1985-07-13	09:22:39	09:26:04	1985-07-13	14:22:39	14:26:04	02:34:39	02:38:04	02:27:00	02:30:25	00:03:25	London	Nik Kershaw	Wide Boy	
1985-07-13	09:26:04	09:30:52	1985-07-13	14:26:04	14:30:52	02:38:04	02:42:52	02:30:25	02:35:13	00:04:48	London	Nik Kershaw	Don Quixote	
1985-07-13	09:30:52	09:35:05	1985-07-13	14:30:52	14:35:05	02:42:52	02:47:05	02:35:13	02:39:26	00:04:13	London	Nik Kershaw	The Riddle	
1985-07-13	09:32:00	09:32:20	1985-07-13	14:32:00	14:32:20	02:44:00	02:44:20	02:36:21	02:36:41	00:00:20	Philadelphia	Four Tops	Introduction by Chevy Chase	
1985-07-13	09:32:20	09:35:02	1985-07-13	14:32:20	14:35:02	02:44:20	02:47:02	02:36:41	02:39:23	00:02:42	Philadelphia	Four Tops	"Shake Me, Wake Me (When It's Over)"	
1985-07-13	09:35:02	09:36:45	1985-07-13	14:35:02	14:36:45	02:47:02	02:48:45	02:39:23	02:41:06	00:01:43	Philadelphia	Four Tops	Bernadette	
1985-07-13	09:35:05	09:40:17	1985-07-13	14:35:05	14:40:17	02:47:05	02:52:17	02:39:26	02:44:38	00:05:12	London	Nik Kershaw	Wouldn't It Be Good	
1985-07-13	09:36:45	09:38:05	1985-07-13	14:36:45	14:38:05	02:48:45	02:50:05	02:41:06	02:42:26	00:01:20	Philadelphia	Four Tops	It's the Same Old Song	
1985-07-13	09:38:05	09:39:41	1985-07-13	14:38:05	14:39:41	02:50:05	02:51:41	02:42:26	02:44:02	00:01:36	Philadelphia	Four Tops	Reach Out I'll Be There	
1985-07-13	09:39:41	09:42:09	1985-07-13	14:39:41	14:42:09	02:51:41	02:54:09	02:44:02	02:46:30	00:02:28	Philadelphia	Four Tops	"I Can't Help Myself (Sugar Pie, Honey Bunch)"	
1985-07-13	09:40:00	09:40:40	1985-07-13	14:40:00	14:40:40	02:52:00	02:52:40	02:44:21	02:45:01	00:00:40	Video [Netherlands]	B.B. King	Introduction	JVC North Sea Jazz Festival
1985-07-13	09:40:40	09:41:08	1985-07-13	14:40:40	14:41:08	02:52:40	02:53:08	02:45:01	02:45:29	00:00:28	Video [Netherlands]	B.B. King	When It All Comes Down	JVC North Sea Jazz Festival
1985-07-13	09:41:08	09:44:29	1985-07-13	14:41:08	14:44:29	02:53:08	02:56:29	02:45:29	02:48:50	00:03:21	Video [Netherlands]	B.B. King	Why I Sing the Blues	JVC North Sea Jazz Festival
