DATE (BST)	TIME START (BST)	TIME END (BST)	DURATION	LOCATION	PERFORMER(S)	TITLE	NOTES
1985-07-13	20:50:00	20:51:07	00:01:07	London	Elton John	Introduction by Billy Connolly	
1985-07-13	20:51:07	20:54:27	00:03:20	London	Elton John	I'm Still Standing	
1985-07-13	20:54:27	20:59:07	00:04:40	London	Elton John	Bennie and the Jets	
1985-07-13	20:59:07	21:03:51	00:04:44	London	Elton John	Rocket Man	
1985-07-13	21:03:51	21:04:25	00:00:34	London	Elton John	Presentation of the Band	
1985-07-13	21:04:25	21:09:16	00:04:51	London	Elton John + Kiki Dee	Don't Go Breaking My Heart (with Kiki Dee)	
1985-07-13	21:09:16	21:14:51	00:05:35	London	Elton John + Wham!	Don't Let the Sun Go Down on Me (with Wham!)	
1985-07-13	21:14:51	21:18:33	00:03:42	London	Elton John	Can I Get a Witness	
1985-07-13	21:48:00	21:48:35	00:00:35	London	Freddie Mercury + Brian May	Introduction by John Hurt	
1985-07-13	21:48:35	21:51:32	00:02:57	London	Freddie Mercury + Brian May	Is This the World We Created...?	
1985-07-13	21:51:00	21:55:52	00:04:52	London	Paul McCartney + David Bowie + Bob Geldof + Alison Moyet + Pete Townshend	Let It Be	
1985-07-13	21:57:00	21:57:57	00:00:57	London	Band Aid	Intermission	
1985-07-13	21:57:57	22:01:38	00:03:41	London	Band Aid	Do They Know It's Christmas?	
