DISC MP4	TRACK	ARTIST	TITLE	LOCATION	TIME START	TIME END	FILE
8	78	Run–D.M.C.	Jam Master Jay	Philadelphia	03:16:41.000	03:19:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	79	Run–D.M.C.	King of Rock	Philadelphia	03:19:41.000	03:24:05.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	80	Sting	Introduction by Noel Edmonds	London	03:22:21.000	03:24:47.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	81	Sting	Roxanne	London	03:24:47.000	03:28:25.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	82	Sting	Driven to Tears	London	03:28:25.000	03:31:42.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	83	Rick Springfield	Introduction by Joe Piscopo	Philadelphia	03:31:21.000	03:31:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	84	Rick Springfield	Love Somebody	Philadelphia	03:31:41.000	03:35:18.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	85	Phil Collins	Against All Odds	London	03:31:42.000	03:35:07.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	86	Sting	Message in a Bottle	London	03:35:07.000	03:39:39.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	87	Rick Springfield	State of the Heart	Philadelphia	03:35:18.000	03:39:22.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	88	Rick Springfield	Human Touch	Philadelphia	03:39:22.000	03:41:45.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	89	Phil Collins	In the Air Tonight	London	03:39:39.000	03:44:24.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	90	Sting + Phil Collins + Branford Marsalis	Long Long Way to Go	London	03:44:24.000	03:47:54.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	91	Sting + Phil Collins + Branford Marsalis	Every Breath You Take	London	03:47:54.000	03:51:06.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	92	REO Speedwagon	Introduction by Chevy Chase	Philadelphia	03:51:21.000	03:51:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	93	REO Speedwagon	Can't Fight This Feeling	Philadelphia	03:51:41.000	03:57:06.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	94	Howard Jones	Introduction by Andy Peebles	London	03:53:21.000	03:54:09.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	95	Howard Jones	Hide and Seek	London	03:54:09.000	03:58:05.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	96	REO Speedwagon + Beach Boys	Roll with the Changes	Philadelphia	03:57:06.000	04:01:47.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	97	Автограф	Introduction by Vladimir Posner	Video - USSR	03:59:21.000	04:00:19.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	98	Автограф	Головокружение	Video - USSR	04:00:19.000	04:05:38.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	99	Автограф	Speech by Vladimir Posner	Video - USSR	04:05:38.000	04:06:16.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	100	Автограф	Нам Нужен Мир	Video - USSR	04:06:16.000	04:10:17.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	101	Bryan Ferry + David Gilmour	Introduction by Andy Peebles	London	04:12:21.000	04:12:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	102	Bryan Ferry + David Gilmour	Sensation	London	04:12:41.000	04:17:12.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	103	Crosby, Stills and Nash	Southern Cross	Philadelphia	04:16:21.000	04:21:18.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	104	Bryan Ferry + David Gilmour	Boys and Girls	London	04:17:12.000	04:21:43.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	105	Crosby, Stills and Nash	Teach Your Children	Philadelphia	04:21:18.000	04:24:31.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	106	Bryan Ferry + David Gilmour	Slave to Love	London	04:21:43.000	04:25:26.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	107	Crosby, Stills and Nash	Suite: Judy Blue Eyes	Philadelphia	04:24:31.000	04:32:36.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	108	Bryan Ferry + David Gilmour	Jealous Guy	London	04:25:26.000	04:30:15.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	109	Band Für Afrika	Introduction by Evelyn Selbert and Ken Janz	Video - Germany	04:31:21.000	04:31:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	110	Band Für Afrika	Speech by Udo Lindenberg	Video - Germany	04:31:41.000	04:35:54.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	111	Judas Priest	Introduction by Chevy Chase	Philadelphia	04:33:21.000	04:33:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	112	Judas Priest	Living After Midnight	Philadelphia	04:33:41.000	04:37:42.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	113	Band Für Afrika	Nackt im Wind	Video - Germany	04:35:54.000	04:39:57.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	114	Judas Priest	The Green Manalishi (With the Two-Pronged Crown)	Philadelphia	04:37:42.000	04:41:24.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	115	Band Für Afrika	Ein Jahr (Es Geht Voran)	Video - Germany	04:39:57.000	04:42:26.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	116	Judas Priest	You've Got Another Thing Comin'	Philadelphia	04:41:24.000	04:48:40.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	117	Paul Young	Introduction by Andy Peebles	London	04:44:21.000	04:45:22.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	118	Paul Young	Do They Know It's Christmas? [Note: Intro Only]	London	04:45:22.000	04:46:15.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	119	Paul Young	Come Back and Stay	London	04:46:15.000	04:53:25.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	120	Paul Young + Alison Moyet	That's the Way Love Is	London	04:53:25.000	04:58:16.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	121	Paul Young	Everytime You Go Away	London	04:58:16.000	05:05:08.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	122	Bryan Adams	Introduction by Jack Nicholson	Philadelphia	05:05:21.000	05:05:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	123	Bryan Adams	Kids Wanna Rock	Philadelphia	05:05:41.000	05:08:40.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	124	Bryan Adams	Summer of '69	Philadelphia	05:08:40.000	05:13:06.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	125	Bryan Adams	Tears Are Not Enough	Philadelphia	05:13:06.000	05:17:18.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	126	Bryan Adams	Cuts Like a Knife	Philadelphia	05:17:18.000	05:22:52.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	127	U2	Introduction by Jack Nicholson	Philadelphia	05:23:21.000	05:23:50.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	128	U2	Introduction by Tommy Vance	London	05:23:50.000	05:24:31.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	129	U2	Sunday Bloody Sunday	London	05:24:31.000	05:29:51.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	130	U2	Bad [Note: Included Satellite of Love - Lou Reed; Ruby Tuesday - Rolling Stones; Sympathy for the Devil - Rolling Stones; Walk on the Wild Side - Lou Reed]	London	05:29:51.000	05:42:18.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	131	The Beach Boys	Introduction by Bill Graham of Marilyn McCoo	Philadelphia	05:43:21.000	05:43:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	132	The Beach Boys	Introduction by Marilyn McCoo	Philadelphia	05:43:41.000	05:44:14.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	133	The Beach Boys	California Girls	Philadelphia	05:44:14.000	05:46:45.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	134	The Beach Boys	Help Me, Rhonda	Philadelphia	05:46:45.000	05:49:52.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	135	The Beach Boys	Wouldn't It Be Nice	Philadelphia	05:49:52.000	05:52:55.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	136	The Beach Boys	Good Vibrations	Philadelphia	05:52:55.000	05:57:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	137	The Beach Boys	Surfin' U.S.A.	Philadelphia	05:57:41.000	06:00:21.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	138	Dire Straits + Sting	Introduction by Bill Graham	Philadelphia	06:04:21.000	06:04:41.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	139	Dire Straits + Sting	Introduction by Tommy Vance	London	06:04:41.000	06:05:14.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
8	140	Dire Straits + Sting	Money for Nothing	London	06:05:14.000	06:12:40.000	Live Aid (1985) - S01E08 - MTV Simulcast.mp4
